name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
wekweti,2015-01-01,-27.9,-35.9,-31.3,-34.9,-48.8,-43.4,-34.9,71.2,0,0,0,,0,0,,29.5,288.6,1023.1,3.3,14,4.1,0.3,0,,2015-01-01T10:29:08,2015-01-01T14:51:47,0.38,Clear,Clear conditions throughout the day.,clear-day,71020599999
wekweti,2015-01-02,-22.9,-30.9,-26.8,-33.2,-42.4,-37.6,-30.4,71.4,0,0,0,,0,0,,22.3,318.9,1027.3,61,10.7,3.3,0.3,0,,2015-01-02T10:28:03,2015-01-02T14:53:50,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,71020599999
wekweti,2015-01-03,-20.9,-29.9,-25.2,-31.8,-39.7,-35.5,-28.4,75.1,0,0,0,,0,0,,20.5,272.6,1034.7,57,12.5,3.5,0.3,0,,2015-01-03T10:26:50,2015-01-03T14:55:59,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,71020599999
wekweti,2015-01-04,-18,-21.9,-19.4,-25.2,-30.7,-28,-22.3,77.1,0,0,0,,0,0,,20.5,308.3,1023.9,80.8,11.8,2.7,0.3,0,,2015-01-04T10:25:30,2015-01-04T14:58:15,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,71020599999
wekweti,2015-01-05,-23.9,-34.9,-30,-29.9,-45.4,-37.8,-33.5,71.8,0,0,0,,0,0,,20.5,316.7,1030.1,9.6,12.3,5,0.4,0,,2015-01-05T10:24:04,2015-01-05T15:00:36,0.52,Clear,Clear conditions throughout the day.,clear-day,71020599999
wekweti,2015-01-06,-20.9,-35.9,-27.2,-30.7,-45.8,-37.4,-30.3,74.7,0,0,0,,0,0,,20.5,258,1042.4,47.3,9.5,2.9,0.3,0,,2015-01-06T10:22:31,2015-01-06T15:03:03,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,71020599999
wekweti,2015-01-07,-18,-24.9,-22.1,-28.4,-38.1,-33.5,-24.8,78.7,0,0,0,,0,0,,29.5,289.8,1033.8,39.5,8.2,3.8,0.3,0,,2015-01-07T10:20:52,2015-01-07T15:05:36,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,71020599999
wekweti,2015-01-08,-22.9,-26.9,-25,-31.7,-41.3,-37.2,-27.9,76.3,0,0,0,,0,0,,35.3,295.6,1037.2,24.8,14,4.1,0.3,0,,2015-01-08T10:19:08,2015-01-08T15:08:13,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,71020599999
wekweti,2015-01-09,-19.9,-30.9,-24.1,-25.9,-41.2,-32.3,-27.2,75.7,0,0,0,,0,0,,24.1,295.6,1026.1,18.6,13.8,5.7,0.4,0,,2015-01-09T10:17:17,2015-01-09T15:10:55,0.65,Clear,Clear conditions throughout the day.,clear-day,71020599999
wekweti,2015-01-10,-23.9,-31.9,-29.1,-26.9,-43.1,-36.3,-32.3,73.8,0,0,0,,0,0,,16.6,253.7,1022.5,7.6,13.7,6.2,0.6,1,,2015-01-10T10:15:22,2015-01-10T15:13:40,0.68,Clear,Clear conditions throughout the day.,clear-day,71020599999
